0	65.54	214.9	431.6	28.48	3.775	98.83	103.6	624.9	43.58	293.4	144.8	38.09	159.6	789.6	3557	7.892	48.73	102.6	47.01	147	91.24	416.3	11.27
65.54	0	39.05	134.5	37.75	29.85	25.05	5.147	-17.84	8.579	63.48	141.4	83.73	136.6	439.9	4324	59.71	9.608	64.85	34.31	155.4	44	520.52	113.6
214.9	39.05	0	-86.13	131.4	156.1	56.62	48.73	0	73.09	-120.8	191.8	383.6	192.5	374	971.4	147.9	84.76	91.62	0	326	0	728.1	185.8
431.6	134.5	-86.13	0	309.5	388.1	170.5	128.3	0	208.6	25.05	377.5	341.8	330.8	685.9	0	366.8	181.2	0	0	548.3	0	0	899
28.48	37.75	131.4	309.5	0	9.951	67.26	106.7	249.1	33.97	188	134.9	30.88	181.9	701.7	2265	19.22	48.73	0	0	156.1	14.43	394.5	15.97
3.775	29.85	156.1	388.1	9.951	0	41.18	67.94	0	12.7	118	136.2	61.59	157.2	0	2333	7.549	26.77	0	0	137.6	15.42	581.3	43.81
98.83	25.05	56.62	170.5	67.26	41.18	0	-16.47	52.5	28.82	129	98.48	185.3	21.28	277.6	2268	25.74	9.951	-16.47	3.775	288.9	153.4	753.6	195.6
103.6	5.147	48.73	128.3	106.7	67.94	-16.47	0	-328	37.4	-99.17	154.4	343.8	9.608	1002	543.5	97.8	-48.38	343.1	242.9	400.1	125.77	753.6	0
624.9	-17.84	0	0	249.1	0	52.5	-328	0	140.7	-99.17	331.1	702.4	9.608	1002	1340	209.7	669.8	0	0	602.9	197	753.6	0
43.58	8.579	73.09	208.6	33.97	12.7	28.82	37.4	140.7	0	139	144.1	179.5	117.4	493.1	4211	35.34	-15.44	159.6	31.91	236.1	113.1	0	1269
293.4	63.48	-120.8	25.05	188	118	129	-99.17	-99.17	139	0	216.2	331.5	71.37	463.2	244	297.2	260.1	0	151.3	-51.82	0	0	0
144.8	141.4	191.8	377.5	134.9	136.2	98.48	154.4	331.1	144.1	216.2	0	95.05	134.9	0	559.3	73.09	60.74	74.81	87.85	265.9	106.4	685.9	179.5
38.09	83.73	383.6	341.8	30.88	61.59	185.3	343.8	702.4	179.5	331.5	95.05	0	319.5	0	2574	45.3	59.71	541.5	0	65.2	23.33	204.7	6.488
159.6	136.6	192.5	330.8	181.9	157.2	21.28	9.608	9.608	117.4	71.37	134.9	319.5	0	-157.8	603.9	0	0	0	0	145.8	0	0	0
789.6	439.9	374	685.9	701.7	0	277.6	1002	1002	493.1	463.2	0	0	-157.8	0	30.88	0	0	0	0	0	0	0	0
3557	4324	971.4	0	2265	2333	2268	543.5	1340	4211	244	559.3	2574	603.9	30.88	0	1650	2243	0	0	830.8	0	0	0
7.892	59.71	147.9	366.8	19.22	7.549	25.74	97.8	209.7	35.34	297.2	73.09	45.3	0	0	1650	0	14.76	-518.2	-98.83	151.3	84.55	569.6	0
48.73	9.608	84.76	181.2	48.73	26.77	9.951	-48.38	669.8	-15.44	260.1	60.74	59.71	0	0	2243	14.76	0	24.71	14.07	175.7	0	644.3	203
102.6	64.85	91.62	0	0	0	-16.47	343.1	0	159.6	0	74.81	541.5	0	0	0	-518.2	24.71	0	23.68	621.4	0	0	0
47.01	34.31	0	0	0	0	3.775	242.9	0	31.91	151.3	87.85	0	0	0	0	-98.83	14.07	23.68	0	460.8	0	0	0
147	155.4	326	548.3	156.1	137.6	288.9	400.1	602.9	236.1	-51.82	265.9	65.2	145.8	0	830.8	151.3	175.7	621.4	460.8	0	73.2	138.7	128.2
91.24	44	0	0	14.43	15.42	153.4	125.77	197	113.1	0	106.4	23.33	0	0	0	84.55	0	0	0	73.2	0	260.1	4.042
416.3	520.52	728.1	0	394.5	581.3	753.6	753.6	753.6	0	0	685.9	204.7	0	0	0	569.6	644.3	0	0	138.7	260.1	0	243.1
11.27	113.6	185.8	899	15.97	43.81	195.6	0	0	1269	0	179.5	6.488	0	0	0	0	203	0	0	128.2	4.042	243.1	0
