0	105.7	294.9	575	20.25	8.922	136.2	103.6	774.1	60.05	170.9	401.5	88.19	227.8	1829	11195	35	44.27	260.1	169.5	239.5	94.24	513.4	55.48
105.7	0	41.59	183.9	74.81	65.88	64.51	-7.549	-4.118	27.79	-74.46	237.1	188.7	124.6	504.8	12126	82.35	50.79	51.82	51.13	240.9	45.55	673.22	231.6
294.9	41.59	0	85.1	157.5	96.77	129.7	-89.22	0	71.37	18.53	380.9	375.4	562.8	520.9	567.6	-55.59	193.2	54.9	0	287.9	0	750.9	634.2
575	183.9	85.1	0	35.69	-224.8	284.1	189.1	0	294.4	81.33	162.7	635.2	-297.2	1547	0	-219.3	419	0	0	2343	0	0	4655
20.25	74.81	157.5	35.69	0	13.73	167.5	190.8	408.3	5.49	473.9	219.3	37.06	304	1318	4722	33.29	68.29	0	0	92.99	20.92	378.1	24.48
8.922	65.88	96.77	-224.8	13.73	0	50.79	210.7	0	73.43	-212.8	235.7	84.92	217.1	0	5147	20.93	-5.147	0	0	150	33.3	517.1	53.1
136.2	64.51	129.7	284.1	167.5	50.79	0	16.47	251.2	65.54	36.72	253.6	460.7	6.177	449.5	6218	78.92	19.9	61.42	1.716	189.1	153.4	590.5	361.3
103.6	-7.549	-89.22	189.1	190.8	210.7	16.47	0	-569.3	53.53	-193.5	374.4	1712	-36.72	-736.4	411.8	67.94	27.79	880.2	-7.206	1201	-231.1	590.5	0
774.1	-4.118	0	0	408.3	0	251.2	-569.3	0	277.6	-193.5	276.6	1889	-36.72	-736.4	-65.88	3819	589.5	0	0	1463	-238.8	590.5	0
60.05	27.79	71.37	294.4	5.49	73.43	65.54	53.53	277.6	0	35.69	354.1	546.6	166.4	832.1	13031	52.5	24.36	140.7	69.32	192.5	143.6	0	18666
170.9	-74.46	18.53	81.33	473.9	-212.8	36.72	-193.5	-193.5	35.69	0	-132.8	389.8	-127.7	-337.7	-60.39	-647.2	134.9	0	2.745	34.31	0	0	0
401.5	237.1	380.9	162.7	219.3	235.7	253.6	374.4	276.6	354.1	-132.8	0	255.6	201.4	0	277.9	106.7	183.9	-266.6	66.91	268.3	158.9	559.3	-1.612
88.19	188.7	375.4	635.2	37.06	84.92	460.7	1712	1889	546.6	389.8	255.6	0	550.1	0	5490	92.65	227.2	94.71	0	70.1	-25.4	222.8	8.774
227.8	124.6	562.8	-297.2	304	217.1	6.177	-36.72	-36.72	166.4	-127.7	201.4	550.1	0	153.7	599.1	0	0	0	0	823.5	0	0	0
1829	504.8	520.9	1547	1318	0	449.5	-736.4	-736.4	832.1	-337.7	0	0	153.7	0	-113.6	0	0	0	0	0	0	0	0
11195	12126	567.6	0	4722	5147	6218	411.8	-65.88	13031	-60.39	277.9	5490	599.1	-113.6	0	1661	5199	0	0	-137.9	0	0	0
35	82.35	-55.59	-219.3	33.29	20.93	78.92	67.94	3819	52.5	-647.2	106.7	92.65	0	0	1661	0	11.32	6815	1809	165.1	-7.515	536.7	0
44.27	50.79	193.2	419	68.29	-5.147	19.9	27.79	589.5	24.36	134.9	183.9	227.2	0	0	5199	11.32	0	121.8	-12.35	373	0	687.7	-11.78
260.1	51.82	54.9	0	0	0	61.42	880.2	0	140.7	0	-266.6	94.71	0	0	0	6815	121.8	0	87.5	873.6	0	0	0
169.5	51.13	0	0	0	0	1.716	-7.206	0	69.32	2.745	66.91	0	0	0	0	1809	-12.35	87.5	0	2167	0	0	0
239.5	240.9	287.9	2343	92.99	150	189.1	1201	1463	192.5	34.31	268.3	70.1	823.5	0	-137.9	165.1	373	873.6	2167	0	73.34	95.49	102.9
94.24	45.55	0	0	20.92	33.3	153.4	-231.1	-238.8	143.6	0	158.9	-25.4	0	0	0	-7.515	0	0	0	73.34	0	259.9	8.18
513.4	673.22	750.9	0	378.1	517.1	590.5	590.5	590.5	0	0	559.3	222.8	0	0	0	536.7	687.7	0	0	95.49	259.9	0	305.6
55.48	231.6	634.2	4655	24.48	53.1	361.3	0	0	18666	0	-1.612	8.774	0	0	0	0	-11.78	0	0	102.9	8.18	305.6	0
